Pays,Club,Championnat,Etoiles
Angleterre,Arsenal,Premier League,5.00 
Angleterre,Aston Villa,Premier League,4.50 
Angleterre,Chelsea,Premier League,4.50 
Angleterre,Everton,Premier League,4.00 
Angleterre,Fulham,Premier League,4.00 
Angleterre,Liverpool,Premier League,5.00 
Angleterre,Manchester City,Premier League,5.00 
Angleterre,Man Utd,Premier League,4.50 
Angleterre,Newcastle Utd,Premier League,4.50 
Angleterre,Spurs,Premier League,4.50 
Angleterre,West Ham Utd,Premier League,4.50 
Angleterre,Crystal Palace,Premier League,4.00 
Angleterre,Ipswich Town,Premier League,3.50 
Angleterre,Leicester City,Premier League,4.00 
Angleterre,Southampton,Premier League,3.50 
Angleterre,Wolves,Premier League,4.00 
Angleterre,AFC Bournemouth,Premier League,4.00 
Angleterre,Brighton,Premier League,4.00 
Angleterre,Notting. Forest,Premier League,4.00 
Angleterre,Brentford,Premier League,4.00 
Angleterre,Blackburn Rovers,EFL championship,3.00 
Angleterre,Derby County,EFL championship,2.50 
Angleterre,Middlesbrough,EFL championship,3.50 
Angleterre,Portsmouth,EFL championship,2.50 
Angleterre,Sunderland,EFL championship,3.00 
Angleterre,Bristol City,EFL championship,3.00 
Angleterre,Burnley,EFL championship,3.50 
Angleterre,Cardiff City,EFL championship,3.50 
Angleterre,Coventry City,EFL championship,3.50 
Angleterre,Hull City,EFL championship,3.00 
Angleterre,Norwich City,EFL championship,3.50 
Angleterre,Plymouth Argyle,EFL championship,3.00 
Angleterre,Preston,EFL championship,3.00 
Angleterre,QPR,EFL championship,3.00 
Angleterre,Sheffield Wed,EFL championship,2.50 
Angleterre,Stoke City,EFL championship,3.00 
Angleterre,Watford,EFL championship,3.00 
Angleterre,West Bromwich,EFL championship,3.50 
Angleterre,Leeds Utd,EFL championship,3.50 
Angleterre,Luton Town,EFL championship,3.50 
Angleterre,Millwall,EFL championship,3.00 
Angleterre,Swansea City,EFL championship,3.00 
Angleterre,Oxford Utd,EFL championship,2.50 
Angleterre,Sheffield Utd,EFL championship,3.50 
Angleterre,Barnsley,EFL League One,2.00 
Angleterre,Birmingham City,EFL League One,3.00 
Angleterre,Blackpool,EFL League One,2.00 
Angleterre,Bolton,EFL League One,2.00 
Angleterre,Bristol Rovers,EFL League One,1.50 
Angleterre,Burton Albion,EFL League One,1.50 
Angleterre,Cambridge Utd,EFL League One,1.50 
Angleterre,Charlton Athl.,EFL League One,2.00 
Angleterre,Crawley Town,EFL League One,1.00 
Angleterre,Exeter City,EFL League One,1.50 
Angleterre,Huddersfield,EFL League One,2.50 
Angleterre,Leyton Orient,EFL League One,1.50 
Angleterre,Lincoln City,EFL League One,1.50 
Angleterre,Mansfield Town,EFL League One,1.50 
Angleterre,Northampton Town,EFL League One,1.50 
Angleterre,Peterborough Utd,EFL League One,1.50 
Angleterre,Reading,EFL League One,2.00 
Angleterre,Roterham Utd,EFL League One,2.50 
Angleterre,Shrewsbury Town,EFL League One,1.00 
Angleterre,Stevenage,EFL League One,2.00 
Angleterre,Stockport,EFL League One,2.00 
Angleterre,Wigan Athletic,EFL League One,1.50 
Angleterre,Wrexham,EFL League One,2.00 
Angleterre,Wycombe,EFL League One,1.50 
Angleterre,Colchester Utd,EFL League Two,1.00 
Angleterre,Carlisle Utd,EFL League Two,1.00 
Angleterre,Cheltenham Town,EFL League Two,0.50 
Angleterre,Crewe Alexandra,EFL League Two,1.00 
Angleterre,Doncaster Rovers,EFL League Two,1.00 
Angleterre,Gillingham,EFL League Two,1.00 
Angleterre,Port Vale,EFL League Two,1.50 
Angleterre,Swindon City,EFL League Two,1.00 
Angleterre,Tranmere Rovers,EFL League Two,1.00 
Angleterre,Walsall,EFL League Two,1.00 
Angleterre,Accrington,EFL League Two,0.50 
Angleterre,Bradford City,EFL League Two,1.50 
Angleterre,Chesterfield,EFL League Two,1.00 
Angleterre,Grimsby Town,EFL League Two,1.00 
Angleterre,MK Dons,EFL League Two,1.50 
Angleterre,Morecambe,EFL League Two,1.00 
Angleterre,Notts County,EFL League Two,1.50 
Angleterre,Barrow,EFL League Two,1.00 
Angleterre,Bromley FC,EFL League Two,0.50 
Angleterre,Newport County,EFL League Two,1.00 
Angleterre,Harrogate Town,EFL League Two,1.00 
Angleterre,AFC Wimbledon,EFL League Two,1.00 
Angleterre,Fleetwood Town,EFL League Two,1.00 
Angleterre,Salford City,EFL League Two,1.00 
Arabie Saoudite,Al Hilal,ROSHN Saudi League,4.00 
Arabie Saoudite,Ettifaq FC,ROSHN Saudi League,3.00 
Arabie Saoudite,Al Ittihad,ROSHN Saudi League,3.50 
Arabie Saoudite,Al Shabab,ROSHN Saudi League,3.00 
Arabie Saoudite,Al Ahli,ROSHN Saudi League,3.50 
Arabie Saoudite,Al Wehdah,ROSHN Saudi League,1.50 
Arabie Saoudite,Al Nassr,ROSHN Saudi League,4.00 
Arabie Saoudite,Al Raed,ROSHN Saudi League,1.50 
Arabie Saoudite,Al Fateh,ROSHN Saudi League,2.00 
Arabie Saoudite,Al Qadisiyah,ROSHN Saudi League,3.00 
Arabie Saoudite,Al Taawoun,ROSHN Saudi League,2.50 
Arabie Saoudite,Al Khaleej,ROSHN Saudi League,2.00 
Arabie Saoudite,Al Riyadh,ROSHN Saudi League,2.00 
Arabie Saoudite,Al Orobah,ROSHN Saudi League,0.50 
Arabie Saoudite,Damac FC,ROSHN Saudi League,2.00 
Arabie Saoudite,Al Fayha,ROSHN Saudi League,1.00 
Arabie Saoudite,Al Okhdood,ROSHN Saudi League,1.00 
Arabie Saoudite,Al Kholood,ROSHN Saudi League,1.00 
Argentine,Argentinos Jrs.,LPF,3.50 
Argentine,Atletico Tucuman,LPF,3.00 
Argentine,Banfield,LPF,2.50 
Argentine,Barracas Central,LPF,2.50 
Argentine,Belgrano,LPF,3.00 
Argentine,Boca Juniors,LPF,4.00 
Argentine,Central Cordoba,LPF,2.00 
Argentine,Defensa,LPF,3.00 
Argentine,Dep. Riestra,LPF,2.00 
Argentine,Estudiantes,LPF,3.50 
Argentine,Gimnasia,LPF,3.00 
Argentine,Godoy Cruz,LPF,3.00 
Argentine,Huracan,LPF,3.00 
Argentine,Ind. Rivadavia,LPF,2.50 
Argentine,Independiente,LPF,3.00 
Argentine,Instituto,LPF,3.00 
Argentine,Lanus,LPF,3.50 
Argentine,Newell's,LPF,3.00 
Argentine,Platense,LPF,3.00 
Argentine,Racing Club,LPF,3.50 
Argentine,River Plate,LPF,4.00 
Argentine,Rosario Central,LPF,3.50 
Argentine,San Lorenzo,LPF,3.50 
Argentine,Sarmiento,LPF,3.00 
Argentine,Talleres,LPF,3.50 
Argentine,Tigre,LPF,2.50 
Argentine,Union,LPF,3.00 
Argentine,Velez Sarsfield,LPF,3.50 
Australie,Adelaide United,A-League,1.00 
Australie,Auckland FC,A-League,1.00 
Australie,Brisbane Roar,A-League,1.00 
Australie,Central Coast,A-League,1.00 
Australie,MacArthur FC,A-League,1.50 
Australie,Melb. Victory,A-League,1.50 
Australie,Melbourne City,A-League,1.50 
Australie,Newcastle Jets,A-League,1.00 
Australie,Perth Glory,A-League,1.00 
Australie,Sydney FC,A-League,1.00 
Australie,Well. Phoenix,A-League,1.00 
Australie,Western United,A-League,1.00 
Australie,WS Wanderers,A-League,1.50 
Autriche,Austria Klagenfurt,O. Bundesliga,1.50 
Autriche,Austria Vienne,O. Bundesliga,2.50 
Autriche,Blau-Weiss linz,O. Bundesliga,1.50 
Autriche,Grazer AK,O. Bundesliga,1.50 
Autriche,LASK,O. Bundesliga,3.00 
Autriche,RB Salzbourg,O. Bundesliga,3.50 
Autriche,SCR Altach,O. Bundesliga,2.00 
Autriche,SK Rapid,O. Bundesliga,3.00 
Autriche,SK Sturm Graz,O. Bundesliga,3.00 
Autriche,TSV Hartberg,O. Bundesliga,2.00 
Autriche,Wolfsberger AC,O. Bundesliga,2.00 
Autriche,WSG Tirol,O. Bundesliga,1.50 
Belgique,Royal Antwerp FC,1A Pro League,3.50 
Belgique,RSC Anderlecht,1A Pro League,3.50 
Belgique,K. Beerschot VA,1A Pro League,1.50 
Belgique,Cercle Bruges,1A Pro League,3.00 
Belgique,Sp. Charleroi,1A Pro League,2.50 
Belgique,Club Bruges,1A Pro League,4.00 
Belgique,KV Courtrai,1A Pro League,2.50 
Belgique,FCV Dender EH,1A Pro League,1.50 
Belgique,KRC Genk,1A Pro League,3.50 
Belgique,KAA La Gantoise,1A Pro League,3.50 
Belgique,OH Louvain,1A Pro League,3.00 
Belgique,FC Malines,1A Pro League,3.00 
Belgique,R. Union St.-G.,1A Pro League,3.50 
Belgique,STVV,1A Pro League,2.00 
Belgique,Standard Liege,1A Pro League,2.50 
Belgique,KVC Westerlo,1A Pro League,2.50 
Coree du Sud,Daegu FC,K League 1,2.00 
Coree du Sud,Daejeon Hana,K League 1,2.50 
Coree du Sud,Gangwon FC,K League 1,2.00 
Coree du Sud,Gwangju FC,K League 1,2.50 
Coree du Sud,Incheon United,K League 1,2.50 
Coree du Sud,Jeju United,K League 1,2.50 
Coree du Sud,Jeonbuk Hyundai,K League 1,2.50 
Coree du Sud,Pohang Steelers,K League 1,2.50 
Coree du Sud,FC Seoul,K League 1,3.00 
Coree du Sud,Gimcheon Sangmu,K League 1,2.00 
Coree du Sud,Suwon FC,K League 1,2.00 
Coree du Sud,Ulsan HD FC,K League 1,3.00 
Danemark,AaB,3F Superliga,1.50 
Danemark,AGF,3F Superliga,3.00 
Danemark,Brondby IF,3F Superliga,3.00 
Danemark,FC Copenhague,3F Superliga,3.50 
Danemark,Lyngby BK,3F Superliga,1.50 
Danemark,FC Midtjylland,3F Superliga,3.50 
Danemark,FC Nordsjaelland,3F Superliga,2.50 
Danemark,Randers FC,3F Superliga,2.00 
Danemark,Silkeborg IF,3F Superliga,2.50 
Danemark,Sonderjyske,3F Superliga,1.00 
Danemark,Vejle Boldklib,3F Superliga,2.00 
Danemark,Viborg FF,3F Superliga,2.00 
Ecosse,Aberdeen,Scottish Prem,2.50 
Ecosse,Celtic,Scottish Prem,4.00 
Ecosse,Dundee FC,Scottish Prem,1.50 
Ecosse,Dundee United,Scottish Prem,1.50 
Ecosse,Hearts,Scottish Prem,3.00 
Ecosse,Hibernian,Scottish Prem,2.50 
Ecosse,Kilmaronock,Scottish Prem,2.00 
Ecosse,Motherwell,Scottish Prem,1.50 
Ecosse,Rangers,Scottish Prem,3.50 
Ecosse,Ross County,Scottish Prem,1.00 
Ecosse,St. Johnstone,Scottish Prem,1.50 
Ecosse,St. Mirren,Scottish Prem,1.50 
Espagne,D. Alaves,LaLiga EA Sports,3.50 
Espagne,Athletic Bilbao,LaLiga EA Sports,4.50 
Espagne,Atletico de Madrid,LaLiga EA Sports,4.50 
Espagne,FC Barcelone,LaLiga EA Sports,5.00 
Espagne,Real Betis,LaLiga EA Sports,4.00 
Espagne,Celta Vigo,LaLiga EA Sports,4.00 
Espagne,Esp. Barcelone,LaLiga EA Sports,3.50 
Espagne,Seville FC,LaLiga EA Sports,4.00 
Espagne,Girona FC,LaLiga EA Sports,4.00 
Espagne,Getafe CF,LaLiga EA Sports,4.00 
Espagne,UD Las Palmas,LaLiga EA Sports,4.00 
Espagne,CD Leganes,LaLiga EA Sports,3.50 
Espagne,RCD Majorque,LaLiga EA Sports,4.00 
Espagne,CA Osasuna,LaLiga EA Sports,4.00 
Espagne,Real Madrid,LaLiga EA Sports,5.00 
Espagne,Real Sociedad,LaLiga EA Sports,4.00 
Espagne,Valence CF,LaLiga EA Sports,4.00 
Espagne,Real Valladolid,LaLiga EA Sports,3.50 
Espagne,Rayo Vallecano,LaLiga EA Sports,4.00 
Espagne,Villarreal CF,LaLiga EA Sports,4.00 
Espagne,Albacete BP,LaLiga Hypermotion,2.50 
Espagne,UD Almeria,LaLiga Hypermotion,3.50 
Espagne,Burgos CF,LaLiga Hypermotion,2.50 
Espagne,Cadiz CF,LaLiga Hypermotion,3.50 
Espagne,FC Carthagene,LaLiga Hypermotion,2.50 
Espagne,CD Castellon,LaLiga Hypermotion,2.00 
Espagne,Cordoba CF,LaLiga Hypermotion,1.50 
Espagne,SD Eibar,LaLiga Hypermotion,3.00 
Espagne,Elche CF,LaLiga Hypermotion,3.00 
Espagne,CD Eldense,LaLiga Hypermotion,2.50 
Espagne,Racing de Ferrol,LaLiga Hypermotion,2.50 
Espagne,Sporing Gijon,LaLiga Hypermotion,3.00 
Espagne,Grenade CF,LaLiga Hypermotion,3.50 
Espagne,SD Huesca,LaLiga Hypermotion,2.50 
Espagne,Deportivo,LaLiga Hypermotion,3.50 
Espagne,Levante UD,LaLiga Hypermotion,3.00 
Espagne,Malaga CF,LaLiga Hypermotion,2.00 
Espagne,CD Mirandes,LaLiga Hypermotion,1.50 
Espagne,Real Oviedo,LaLiga Hypermotion,3.50 
Espagne,R. Racing Club,LaLiga Hypermotion,2.50 
Espagne,Real Saragosse,LaLiga Hypermotion,3.00 
Espagne,CD Tenerife,LaLiga Hypermotion,3.00 
Etats-Unis,Atlanta United,MLS,2.50 
Etats-Unis,Austin FC,MLS,2.50 
Etats-Unis,CF Montreal,MLS,2.50 
Etats-Unis,Charlotte FC,MLS,2.50 
Etats-Unis,Chicago Fire FC,MLS,2.50 
Etats-Unis,Colorado Rapids,MLS,2.50 
Etats-Unis,Columbus Crew,MLS,3.00 
Etats-Unis,D.C. United,MLS,2.50 
Etats-Unis,FC Cincinnati,MLS,3.50 
Etats-Unis,FC Dallas,MLS,2.50 
Etats-Unis,Houston Dynamo,MLS,3.00 
Etats-Unis,Inter Miami CF,MLS,3.50 
Etats-Unis,LA Galaxy,MLS,3.00 
Etats-Unis,LAFC,MLS,3.50 
Etats-Unis,Minnesota United,MLS,2.50 
Etats-Unis,Nashville SC,MLS,3.00 
Etats-Unis,New England,MLS,3.00 
Etats-Unis,New York City FC,MLS,2.50 
Etats-Unis,Red Bulls,MLS,2.50 
Etats-Unis,Orlando City,MLS,3.00 
Etats-Unis,Philadelphia U.,MLS,3.00 
Etats-Unis,Portland Timbers,MLS,3.00 
Etats-Unis,Real Salt Lake,MLS,3.00 
Etats-Unis,SJ Earthquakes,MLS,3.00 
Etats-Unis,Sounders FC,MLS,3.00 
Etats-Unis,Sporting KC,MLS,2.50 
Etats-Unis,St. Louis CITY SC,MLS,3.00 
Etats-Unis,Toronto FC,MLS,2.50 
Etats-Unis,Whitecaps FC,MLS,3.00 
France,Angers SCO,Ligue 1 McDonald's,3.00 
France,AJ Auxerre,Ligue 1 McDonald's,3.00 
France,Stade Brestois 29,Ligue 1 McDonald's,3.50 
France,Havre AC,Ligue 1 McDonald's,3.50 
France,RC Lens,Ligue 1 McDonald's,4.00 
France,LOSC Lille,Ligue 1 McDonald's,4.00 
France,OL,Ligue 1 McDonald's,4.00 
France,OM,Ligue 1 McDonald's,4.00 
France,AS Monaco,Ligue 1 McDonald's,4.00 
France,Montpellier,Ligue 1 McDonald's,3.50 
France,FC Nantes,Ligue 1 McDonald's,3.50 
France,OGC Nice,Ligue 1 McDonald's,4.00 
France,PSG,Ligue 1 McDonald's,4.50 
France,Satde de Reims,Ligue 1 McDonald's,3.50 
France,Stade Rennais FC,Ligue 1 McDonald's,4.00 
France,AS Saint-Etienne,Ligue 1 McDonald's,3.50 
France,Strasbourg,Ligue 1 McDonald's,3.50 
France,Toulouse FC,Ligue 1 McDonald's,3.50 
France,AC Ajaccio,Ligue 2 BKT,2.00 
France,Amiens SC,Ligue 2 BKT,2.00 
France,FC Annecy,Ligue 2 BKT,1.50 
France,SC Bastia,Ligue 2 BKT,2.00 
France,ESTAC Troyes,Ligue 2 BKT,2.50 
France,SM Caen,Ligue 2 BKT,2.50 
France,Clermont Foot 63,Ligue 2 BKT,3.00 
France,USL Dunkerque,Ligue 2 BKT,2.00 
France,En Avant Guingamp,Ligue 2 BKT,2.00 
France,Laval MFC,Ligue 2 BKT,2.00 
France,FC Lorient,Ligue 2 BKT,3.50 
France,FC Martigues,Ligue 2 BKT,1.00 
France,FC Metz,Ligue 2 BKT,3.00 
France,Paris FC,Ligue 2 BKT,2.50 
France,Grenoble Foot 38,Ligue 2 BKT,2.50 
France,Pau FC,Ligue 2 BKT,2.00 
France,Red Star,Ligue 2 BKT,1.50 
France,Rodez AF,Ligue 2 BKT,2.00 
Inde,Bangaluru FC,ISL,1.00 
Inde,Chennaiyin FC,ISL,0.50 
Inde,FC Goa,ISL,1.00 
Inde,Hyderabad FC,ISL,0.50 
Inde,Jamshedpur FC,ISL,0.50 
Inde,Kerala Blasters,ISL,0.50 
Inde,Mohammedan SC,ISL,0.50 
Inde,Mohun Bagan SG,ISL,1.50 
Inde,Mumbai City FC,ISL,1.00 
Inde,NorthEast United,ISL,0.50 
Inde,Odisha FC,ISL,1.00 
Inde,East Bengal,ISL,1.00 
Inde,Punjad FC,ISL,0.50 
Rep.d'Irlande,Bohemians,SSE Airtricity PD,1.00 
Rep.d'Irlande,Derry City,SSE Airtricity PD,1.00 
Rep.d'Irlande,Drogheda United,SSE Airtricity PD,0.50 
Rep.d'Irlande,Dundalk,SSE Airtricity PD,0.50 
Rep.d'Irlande,Galway United,SSE Airtricity PD,1.00 
Rep.d'Irlande,Shamrock Rovers,SSE Airtricity PD,1.50 
Rep.d'Irlande,Shelbourne,SSE Airtricity PD,1.00 
Rep.d'Irlande,Sligo Rovers,SSE Airtricity PD,1.00 
Rep.d'Irlande,St. Pats,SSE Airtricity PD,1.00 
Rep.d'Irlande,Waterford,SSE Airtricity PD,0.50 
Italie,Milano FC (AC Milan),Serie A Enilive,4.50 
Italie,AS Roma,Serie A Enilive,4.50 
Italie,Bergamo Calcio (Atalanta),Serie A Enilive,4.50 
Italie,Bologne,Serie A Enilive,4.00 
Italie,Cagliari,Serie A Enilive,3.50 
Italie,Come,Serie A Enilive,3.50 
Italie,Empoli,Serie A Enilive,3.50 
Italie,Fiorentina,Serie A Enilive,4.00 
Italie,Genoa,Serie A Enilive,3.50 
Italie,Hellas Verone,Serie A Enilive,3.50 
Italie,Lombardia FC (Inter),Serie A Enilive,5.00 
Italie,Juventus,Serie A Enilive,4.50 
Italie,Latium (lazio),Serie A Enilive,4.00 
Italie,Lecce,Serie A Enilive,3.50 
Italie,Monza,Serie A Enilive,3.50 
Italie,SSC Napoli,Serie A Enilive,4.50 
Italie,Parma,Serie A Enilive,3.50 
Italie,Torino,Serie A Enilive,4.00 
Italie,Udinese,Serie A Enilive,3.50 
Italie,Venezia,Serie A Enilive,3.50 
Italie,Bari,Serie BKT,2.50 
Italie,Brescia,Serie BKT,2.50 
Italie,Carrarese Calcio,Serie BKT,2.00 
Italie,Catanzaro,Serie BKT,2.00 
Italie,Cesena,Serie BKT,2.50 
Italie,Cittadella,Serie BKT,2.50 
Italie,Cosenza,Serie BKT,2.50 
Italie,Cremonese,Serie BKT,3.50 
Italie,Frosinone,Serie BKT,2.00 
Italie,SS Juve Stabia,Serie BKT,1.50 
Italie,Mantoue,Serie BKT,2.00 
Italie,Modene,Serie BKT,3.00 
Italie,Palerme,Serie BKT,3.50 
Italie,Pise,Serie BKT,2.50 
Italie,Reggiana,Serie BKT,2.50 
Italie,Salernitana,Serie BKT,3.50 
Italie,Sampdoria,Serie BKT,3.50 
Italie,Sassuolo,Serie BKT,3.50 
Italie,Spezia,Serie BKT,2.50 
Italie,Sudtirol,Serie BKT,2.50 
Norvege,FK Bodo/Glimt,Eliteserien,3.00 
Norvege,SK Brann,Eliteserien,2.00 
Norvege,Fredrikstad FK,Eliteserien,1.00 
Norvege,HamKam Fotball,Eliteserien,1.50 
Norvege,FK Haugesaund,Eliteserien,1.50 
Norvege,KFUM -Kameratene,Eliteserien,1.00 
Norvege,Kristiansund BK,Eliteserien,1.00 
Norvege,Lillestrom SK,Eliteserien,2.00 
Norvege,Molde FK,Eliteserien,2.50 
Norvege,Odds BK,Eliteserien,1.50 
Norvege,Rosenborg BK,Eliteserien,2.00 
Norvege,Sandefjord,Eliteserien,1.00 
Norvege,Sarpsborg 08,Eliteserien,1.50 
Norvege,Stromsgodset IF,Eliteserien,1.50 
Norvege,Tromso IL,Eliteserien,1.50 
Norvege,Viking FK,Eliteserien,2.00 
Pays-Bas,Ajax,Eredivisie,4.00 
Pays-Bas,AZ,Eredivisie,3.50 
Pays-Bas,Almere City FC,Eredivisie,2.00 
Pays-Bas,NAC Breda,Eredivisie,2.00 
Pays-Bas,Feyenoord,Eredivisie,4.00 
Pays-Bas,Go Ahead Eagles,Eredivisie,2.50 
Pays-Bas,FC Groningen,Eredivisie,2.50 
Pays-Bas,sc Heerenveen,Eredivisie,2.50 
Pays-Bas,Heracles Almelo,Eredivisie,2.00 
Pays-Bas,N.E.C Nimegue,Eredivisie,3.00 
Pays-Bas,PSV,Eredivisie,4.00 
Pays-Bas,Fortuna Sittard,Eredivisie,2.50 
Pays-Bas,Sparta Rotterdam,Eredivisie,2.50 
Pays-Bas,FC Twente,Eredivisie,3.50 
Pays-Bas,FC Utrecht,Eredivisie,3.00 
Pays-Bas,RKC Waalwijk,Eredivisie,2.00 
Pays-Bas,Willem II,Eredivisie,2.00 
Pays-Bas,PEC Zwolle,Eredivisie,2.00 
Pologne,Cracovia,PKO BP Ekstraklasa,2.00 
Pologne,Gornik Zabrze,PKO BP Ekstraklasa,2.00 
Pologne,Jagiellonia,PKO BP Ekstraklasa,2.50 
Pologne,GKS Katowice,PKO BP Ekstraklasa,1.50 
Pologne,Korona Kielce,PKO BP Ekstraklasa,1.50 
Pologne,Lech Poznan,PKO BP Ekstraklasa,2.50 
Pologne,Lechia Gdansk,PKO BP Ekstraklasa,1.50 
Pologne,Legia Varsovie,PKO BP Ekstraklasa,2.50 
Pologne,Mortor Lublin,PKO BP Ekstraklasa,1.50 
Pologne,Piast Gliwice,PKO BP Ekstraklasa,2.00 
Pologne,Pogon Szczecin,PKO BP Ekstraklasa,2.50 
Pologne,Puszcza,PKO BP Ekstraklasa,1.50 
Pologne,Radomiak Radom,PKO BP Ekstraklasa,1.50 
Pologne,Rakow,PKO BP Ekstraklasa,2.50 
Pologne,Slask Wroclaw,PKO BP Ekstraklasa,2.00 
Pologne,Stal Mielec,PKO BP Ekstraklasa,1.50 
Pologne,Widzew Lodz,PKO BP Ekstraklasa,2.00 
Pologne,Zaglebie Lubin,PKO BP Ekstraklasa,2.00 
Portugal,Arouca,Liga Portugal,3.00 
Portugal,AVS Futebol SAD,Liga Portugal,2.50 
Portugal,SL Benfica,Liga Portugal,4.00 
Portugal,Boavista FC,Liga Portugal,2.50 
Portugal,SC Braga,Liga Portugal,4.00 
Portugal,Casa Pia AC,Liga Portugal,3.00 
Portugal,Estoril Praia,Liga Portugal,3.00 
Portugal,Estrela Amadora,Liga Portugal,2.50 
Portugal,FC Famalicao,Liga Portugal,3.00 
Portugal,Farense,Liga Portugal,2.50 
Portugal,FC Porto,Liga Portugal,4.00 
Portugal,Gil Vicente,Liga Portugal,3.00 
Portugal,Vitoria SC,Liga Portugal,3.50 
Portugal,Moreirense FC,Liga Portugal,3.00 
Portugal,Nacional,Liga Portugal,2.50 
Portugal,Rio Ave FC,Liga Portugal,3.00 
Portugal,Santa Clara,Liga Portugal,2.50 
Portugal,Sporting CP,Liga Portugal,4.00 
Roumanie,FC Botosani,SUPERLIGA,1.50 
Roumanie,CFR 1907 Cluj,SUPERLIGA,2.50 
Roumanie,FC Dinamo 1948,SUPERLIGA,2.00 
Roumanie,Farul Constanta,SUPERLIGA,2.00 
Roumanie,FC Hermannstadt,SUPERLIGA,2.00 
Roumanie,FCSB,SUPERLIGA,2.50 
Roumanie,FC Gloria Buzau,SUPERLIGA,1.50 
Roumanie,SC Otelul Galati,SUPERLIGA,1.50 
Roumanie,FC Petrolul,SUPERLIGA,1.50 
Roumanie,Politechnica Lasi,SUPERLIGA,1.50 
Roumanie,FC Rapid 1923,SUPERLIGA,2.50 
Roumanie,Sepsi OSK,SUPERLIGA,2.00 
Roumanie,FC Univ. Cluj,SUPERLIGA,2.00 
Roumanie,Unirea Slobozia,SUPERLIGA,1.00 
Roumanie,Univ. Craiova,SUPERLIGA,2.50 
Roumanie,UTA Arad,SUPERLIGA,1.50 
RP Chine,Beijing FC,CSL,2.50 
RP Chine,Cangzhou FC,CSL,1.00 
RP Chine,Changchun Yatai,CSL,2.00 
RP Chine,Chengdu FC,CSL,2.50 
RP Chine,Henan FC,CSL,2.00 
RP Chine,Meizhou Hakka,CSL,1.50 
RP Chine,Nantong Zhiyum FC,CSL,1.00 
RP Chine,Qingdao Hainiu,CSL,1.00 
RP Chine,Qingdao W. Coast,CSL,1.50 
RP Chine,Shandong Taishan,CSL,2.50 
RP Chine,Shanghai Port FC,CSL,2.50 
RP Chine,Shanghai Shenhua,CSL,2.50 
